"Korean Name","English Name","Searched Eng Name","Functions"
"1,10-데칸다이올","1,10-Decanediol","1,10-DECANEDIOL","SOLVENT"
"1,2-헥산다이올","1,2-Hexanediol","1,2-HEXANEDIOL","SKIN CONDITIONING | SOLVENT"
"1-메틸하이단토인-2-이미드","1-Methylhydantoin-2-Imide","1-METHYLHYDANTOIN-2-IMIDE","SKIN CONDITIONING"
"10-하이드록시데카노익애씨드","10-Hydroxydecanoic Acid","10-HYDROXYDECANOIC ACID","SKIN CONDITIONING"
"2,3-부탄다이올","2,3-Butanediol","2,3-BUTANEDIOL","HUMECTANT | FRAGRANCE | SKIN CONDITIONING | SOLVENT"
"2,4-다이메틸-3-사이클로헥신카복스알데하이드","2,4-Dimethyl-3-Cyclohexene Carboxaldehyde","2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE","FRAGRANCE | TONIC | PERFUMING"
"2-t-부틸사이클로헥실아세테이트","2-t-Butylcyclohexyl Acetate","2-T-BUTYLCYCLOHEXYL ACETATE","FRAGRANCE | PERFUMING"
"3-O-에틸아스코빅애씨드","3-O-Ethyl Ascorbic Acid","3-O-ETHYL ASCORBIC ACID","SKIN CONDITIONING"
"3-아스코빌카보닐다이펩타이드-17","3-Ascorbyl Carbonyl Dipeptide-17","3-ASCORBYL CARBONYL DIPEPTIDE-17","SKIN CONDITIONING"
"3-헥센올","3-Hexenol","3-HEXENOL","FRAGRANCE | SKIN CONDITIONING | PERFUMING"
"4-t-부틸사이클로헥산올","4-t-Butylcyclohexanol","4-T-BUTYLCYCLOHEXANOL","FRAGRANCE | PERFUMING"
"4-부틸레조시놀","4-Butylresorcinol","4-BUTYLRESORCINOL","ANTIOXIDANT"
"4-터피네올","4-Terpineol","4-TERPINEOL","FRAGRANCE"
"7-데하이드로콜레스테롤","7-Dehydrocholesterol","7-DEHYDROCHOLESTEROL","EMULSION STABILISING | SKIN CONDITIONING | VISCOSITY CONTROLLING"
"C10-18트라이글리세라이즈","C10-18 Triglycerides","C10-18 TRIGLYCERIDES","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | SOLVENT"
"C12-13알케스-9","C12-13 Alketh-9","C12-13 ALKETH-9","SURFACTANT - EMULSIFYING"
"C12-14알케스-12","C12-14 Alketh-12","C12-14 ALKETH-12","SURFACTANT - EMULSIFYING"
"C12-15알킬벤조에이트","C12-15 Alkyl Benzoate","C12-15 ALKYL BENZOATE","ANTIMICROBIAL | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"C12-16알코올","C12-16 Alcohols","C12-16 ALCOHOLS","ANTISTATIC | SKIN CONDITIONING - EMOLLIENT | EMULSION STABILISING | HAIR CONDITIONING | VISCOSITY CONTROLLING"
"C12-18애씨드트라이글리세라이드","C12-18 Acid Triglyceride","C12-18 ACID TRIGLYCERIDE","SKIN CONDITIONING - EMOLLIENT | SURFACTANT - EMULSIFYING | SKIN CONDITIONING | SOLVENT | VISCOSITY CONTROLLING"
"C12-20알킬글루코사이드","C12-20 Alkyl Glucoside","C12-20 ALKYL GLUCOSIDE","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"C13-14아이소알케인","C13-14 Isoalkane","C13-14 ISOALKANE","SOLVENT | SKIN CONDITIONING - MISCELLANEOUS"
"C13-14알케인","C13-14 Alkane","C13-14 ISOPARAFFIN","SKIN CONDITIONING - EMOLLIENT | SOLVENT"
"C13-15알케인","C13-15 Alkane","C13-15 ALKANE","SOLVENT"
"C13-16아이소알케인","C13-16 Isoalkane","C13-16 ISOALKANE","SOLVENT"
"C14-22알코올","C14-22 Alcohols","C14-22 ALCOHOLS","EMULSION STABILISING"
"C14-28알킬애씨드","C14-28 Alkyl Acid","C14-28 ALKYL ACID","HAIR CONDITIONING"
"C15-19알케인","C15-19 Alkane","C15-19 ALKANE","SOLVENT"
"C18-21알케인","C18-21 Alkane","C18-21 ALKANE","SOLVENT"
"C18-36애씨드트라이글리세라이드","C18-36 Acid Triglyceride","C18-36 ACID TRIGLYCERIDE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"C20-22알코올","C20-22 Alcohols","C20-22 ALCOHOLS","BINDING | EMULSION STABILISING | VISCOSITY CONTROLLING"
"C20-22알킬포스페이트","C20-22 Alkyl Phosphate","C20-22 ALKYL PHOSPHATE","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"C30-45알킬다이메티콘","C30-45 Alkyl Dimethicone","C30-45 ALKYL CETEARYL DIMETHICONE CROSSPOLYMER","SKIN CONDITIONING - EMOLLIENT | FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"C30-45알킬세테아릴다이메티콘크로스폴리머","C30-45 Alkyl Cetearyl Dimethicone Crosspolymer","C30-45 ALKYL CETEARYL DIMETHICONE CROSSPOLYMER","SKIN CONDITIONING - EMOLLIENT | FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"C9-12알케인","C9-12 Alkane","C9-12 ALKANE","SOLVENT"
"N-하이드록시석신이미드","N-Hydroxysuccinimide","N-HYDROXYSUCCINIMIDE","SKIN CONDITIONING"
"o-사이멘-5-올","o-Cymen-5-ol","O-CYMEN-5-OL","ANTIMICROBIAL | DEODORANT | PRESERVATIVE"
"p-아니식애씨드","p-Anisic Acid","P-ANISIC ACID","FRAGRANCE"
"t-부틸알코올","t-Butyl Alcohol","T-BUTYL ALCOHOL","DENATURANT | SOLVENT | PERFUMING"
"가르시니아열매추출물","Garcinia Cambogia Fruit Extract","GARCINIA CAMBOGIA FRUIT EXTRACT","SKIN CONDITIONING"
"가시대나무수액","Bambusa Arundinacea Juice","BAMBUSA ARUNDINACEA JUICE","ABRASIVE | SKIN CONDITIONING"
"가시오갈피뿌리추출물","Acanthopanax Senticosus (Eleuthero) Root Extract","ACANTHOPANAX SENTICOSUS ROOT EXTRACT","SKIN CONDITIONING | SOOTHING"
"가시칠엽수씨추출물","Aesculus Hippocastanum (Horse Chestnut) Seed Extract","AESCULUS HIPPOCASTANUM SEED EXTRACT","SKIN CONDITIONING"
"가지열매추출물","Solanum Melongena (Eggplant) Fruit Extract","SOLANUM MELONGENA FRUIT EXTRACT","SKIN CONDITIONING"
"각시둥굴레뿌리줄기/뿌리추출물","Polygonatum Officinale Rhizome/Root Extract","SOLANUM MELONGENA FRUIT EXTRACT","SKIN CONDITIONING"
"갈락토미세스발효여과물","Galactomyces Ferment Filtrate","GALACTOMYCES/BETULA PLATYPHYLLA JAPONICA JUICE FERMENT FILTRATE","SKIN CONDITIONING - EMOLLIENT"
"갈락토아라비난","Galactoarabinan","GALACTOARABINAN","FILM FORMING"
"갈랑가갈랑갈추출물","Alpinia Galanga Extract","ALPINIA GALANGA EXTRACT","SKIN CONDITIONING"
"갈로일노나펩타이드-11","Galloyl Nonapeptide-11","GALLOYL NONAPEPTIDE-11","ANTI-SEBUM | SKIN PROTECTING"
"갈로일트라이펩타이드-48","Galloyl Tripeptide-48","GALLOYL TRIPEPTIDE-48","ANTIOXIDANT | SKIN PROTECTING"
"갈로일펜타펩타이드-33","Galloyl Pentapeptide-33","GALLOYL PENTAPEPTIDE-33","ANTIOXIDANT | SKIN PROTECTING"
"갈릭애씨드","Gallic Acid","GALLIC ACID","ANTIOXIDANT"
"갈릴글루코사이드","Gallyl Glucoside","GALLYL GLUCOSIDE","ANTIOXIDANT | SKIN CONDITIONING"
"갈바눔수지오일","Ferula Galbaniflua (Galbanum) Resin Oil","FERULA GALBANIFLUA RESIN OIL","ANTIMICROBIAL | TONIC | PERFUMING"
"감국꽃추출물","Chrysanthemum Indicum Flower Extract","CHRYSANTHEMUM INDICUM FLOWER EXTRACT","SKIN CONDITIONING"
"감국추출물","Chrysanthemum Indicum Extract","CHRYSANTHEMUM INDICUM FLOWER EXTRACT","SKIN CONDITIONING"
"감나무잎추출물","Diospyros Kaki Leaf Extract","DIOSPYROS KAKI LEAF EXTRACT","SKIN PROTECTING | TONIC"
"감초뿌리추출물","Glycyrrhiza Uralensis (Licorice) Root Extract","GLYCYRRHIZA URALENSIS ROOT EXTRACT","SKIN CONDITIONING"
"감초추출물","Glycyrrhiza Uralensis (Licorice) Extract","GLYCYRRHIZA URALENSIS ROOT EXTRACT","SKIN CONDITIONING"
"감추출물","Diospyros Kaki Fruit Extract","DIOSPYROS KAKI FRUIT EXTRACT","SKIN CONDITIONING"
"감태추출물","Ecklonia Cava Extract","ECKLONIA CAVA EXTRACT","SKIN CONDITIONING"
"개구리밥추출물","Spirodela Polyrhiza Extract","SPIRODELA POLYRHIZA EXTRACT","SKIN CONDITIONING"
"개다래추출물","Actinidia Polygama Fruit Extract","ACTINIDIA POLYGAMA FRUIT EXTRACT","SKIN CONDITIONING"
"개똥쑥추출물","Artemisia Annua Extract","ARTEMISIA ANNUA SEED EXTRACT","ANTIOXIDANT"
"개박하추출물","Nepeta Cataria Extract","NEPETA CATARIA EXTRACT","TONIC"
"개청각추출물","Codium Tomentosum Extract","CODIUM TOMENTOSUM EXTRACT","SKIN PROTECTING"
"검은깨추출물","Sesamum Indicum (Sesame) Seed Extract","SESAMUM INDICUM SEED EXTRACT","HAIR CONDITIONING | SKIN CONDITIONING | SMOOTHING | SOOTHING"
"검은뽕나무열매추출물","Morus Nigra Fruit Extract","MORUS NIGRA FRUIT EXTRACT","SKIN CONDITIONING"
"검은뽕나무잎추출물","Morus Nigra Leaf Extract","MORUS NIGRA LEAF EXTRACT","SKIN CONDITIONING"
"검은서양송로추출물","Tuber Melanosporum Extract","TUBER MELANOSPORUM EXTRACT","HUMECTANT | SKIN CONDITIONING"
"검정콩오일","Glycine Max (Soybean) Oil","GLYCINE MAX OIL","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"겔리듐 카르틸라기네움추출물","Gelidium Cartilagineum Extract","GELIDIUM CARTILAGINEUM EXTRACT","SKIN PROTECTING"
"겔리디엘라 아케로사추출물","Gelidiella Acerosa Extract","GELIDIELLA ACEROSA EXTRACT","SKIN PROTECTING"
"겨우살이열매추출물","Viscum Album (Mistletoe) Fruit Extract","VISCUM ALBUM FRUIT EXTRACT","SOOTHING"
"겨우살이추출물","Viscum Album (Mistletoe) Extract","VISCUM ALBUM LEAF EXTRACT","SOOTHING"
"결명씨추출물","Cassia Obtusifolia Seed Extract","VISCUM ALBUM LEAF EXTRACT","SOOTHING"
"결명자추출물","Cassia Tora Seed Extract","CASSIA TORA SEED EXTRACT","SKIN CONDITIONING"
"고구마뿌리추출물","Ipomoea Batatas Root Extract","IPOMOEA BATATAS ROOT LEES EXTRACT","SKIN CONDITIONING - EMOLLIENT"
"고구마추출물","Ipomoea Batatas Extract","IPOMOEA BATATAS EXTRACT","SKIN CONDITIONING"
