"category","rank","brand","name","price","ingredients"
"스킨/토너",1,"바이오더마","바이오더마 하이드라비오 토너","27,900","정제수| 글리세린| 폴리솔베이트20| 다이소듐이디티에이| 세트리모늄브로마이드| 향료| 나이아신아마이드| 자일리톨| 알란토인| 프룩토올리고사카라이드| 만니톨| 헥실데칸올| 소듐하이드록사이드| 시트릭애씨드| 람노오스| 사과씨추출물| 유채스테롤| 토코페롤"
"스킨/토너",2,"토리든","토리든 다이브인 저분자 히알루론산 토너","15,700","정제수| 부틸렌글라이콜| 다이프로필렌글라이콜| 1,2-헥산다이올| 글리세린| 베타인| 알란토인| 판테놀| 쇠비름추출물| 트레할로오스| 소듐하이알루로네이트| 하이드롤라이즈드하이알루로닉애씨드(100ppm)| 소듐하이알루로네이트크로스폴리머| 하이드롤라이즈드소듐하이알루로네이트| 소듐아세틸레이티드하이알루로네이트| 2,3-부탄다이올| 펜틸렌글라이콜| 말라카이트추출물| 다이소듐이디티에이| 에틸헥실글리세린"
"스킨/토너",3,"라운드랩","라운드랩 1025 독도 토너","13,500","정제수| 부틸렌글라이콜| 글리세린| 펜틸렌글라이콜| 프로판다이올| 아이리쉬모스추출물| 사탕수수추출물| 해수| 1,2-헥산다이올| 프로테아제| 베타인| 판테놀| 에틸헥실글리세린| 알란토인| 잔탄검| 다이소듐이디티에이"
"스킨/토너",4,"아누아","아누아 어성초 77 깐달걀 토너","34,000","약모밀추출물(77%)| 정제수| 1,2-헥산다이올| 글리세린| 베타인| 병풀추출물| 체이스트트리추출물| 우엉뿌리추출물| 진흙버섯추출물| 쇠비름추출물| 포도추출물| 사과추출물| 사탕수수추출물| 판테놀| 마트리카리아꽃추출물| 소듐하이알루로네이트| 하이드록시프로필트라이모늄하이알루로네이트| 하이드롤라이즈드하이알루로닉애씨드| 소듐아세틸레이티드하이알루로네이트| 하이알루로닉애씨드| 소듐하이알루로네이트크로스폴리머| 포타슘하이알루로네이트| 메틸프로판다이올| 부틸렌글라이콜| 아이소펜틸다이올| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 트로메타민| 다이소듐이디티에이"
"스킨/토너",5,"브링그린","브링그린 티트리시카토너 &크림","20,800","■ [토너]티트리추출물| 정제수| 다이프로필렌글라이콜| 티트리잎추출물| 티트리잎수| 병풀추출물| 1,2-헥산다이올| 부틸렌글라이콜| 티트리꽃/잎/줄기추출물| 베타인| 판테놀| 옥틸도데세스-16| 소듐시트레이트| 시트릭애씨드| 티트리잎오일| 베타인살리실레이트| 잔탄검■ [크림]정제수| 티트리추출물| 병풀추출물| 부틸렌글라이콜| 스쿠알란| 티트리잎추출물| 티트리잎수| 프로판다이올| 1,2-헥산다이올| 나이아신아마이드| 펜틸렌글라이콜| 폴리글리세릴-3메틸글루코오스다이스테아레이트| 다이글리세린| 티트리꽃/잎/줄기추출물| 티트리잎오일| 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머| 폴리메틸실세스퀴옥세인| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 트로메타민| 솔비탄아이소스테아레이트| 마데카소사이드| 에틸헥실글리세린"
"스킨/토너",6,"라운드랩","라운드랩 1025 독도 토너  대용량","27,000","정제수| 부틸렌글라이콜| 글리세린| 펜틸렌글라이콜| 프로판다이올| 아이리쉬모스추출물| 사탕수수추출물| 해수| 1,2-헥산다이올| 프로테아제| 베타인| 판테놀| 에틸헥실글리세린| 알란토인| 잔탄검| 다이소듐이디티에이"
"스킨/토너",7,"넘버즈인","넘버즈인 3번 결광가득 에센스 토너  대용량","22,400","정제수| 다이프로필렌글라이콜| 글리세레스-26| 1,2-헥산다이올| 나이아신아마이드| 부틸렌글라이콜| 글리세린| 메틸글루세스-20| 메도우스위트추출물| 락토코쿠스/녹두추출물발효여과물| 락토바실러스/쌀발효물| 클로렐라발효물| 락토바실러스/조류추출발효물| 효모/포도발효추출물| 락토바실러스/호박발효추출물| 락토바실러스/콩발효추출물| 락토바실러스/콩추출물발효여과물| 효모/쌀발효여과추출물| 효모/보리씨발효여과물| 효모/칼슘발효물| 효모/슈가캘프발효물| 효모/감자추출물발효여과물| 락토바실러스/여바산타발효추출물| 락토바실러스/부레옥잠발효물| 락토바실러스/호밀가루발효물| 락토바실러스/히비스커스꽃발효여과물| 락토바실러스/우유발효여과물| 락토바실러스/홍삼발효여과물| 락토바실러스/아세로라체리발효물| 락토바실러스발효물| 락토바실러스발효용해여과물| 락토코커스/우유발효용해물| 락토코쿠스발효물| 락토코쿠스발효추출물| 락토코쿠스발효용해물| 스트렙토코쿠스 테르모필루스발효물| 흑효모발효여과물| 비피다발효여과물| 비피다발효추출물| 류코노스톡/무발효여과물| 락토바실러스/고추냉이뿌리발효추출물| 락토바실러스/석류발효추출물| 바실러스/글루타믹애씨드발효여과물| 바실러스/쌀겨추출물/콩추출물발효여과물| 모나스커스/쌀발효물| 효모/쌀겨발효여과추출물| 효모/쌀겨발효물| 락토바실러스/배즙발효여과물| 피키아발효용해여과물| 알테로모나스발효추출물| 효모/율무씨발효여과물| 효모/콩단백질발효물 | 스핑고모나스발효추출물| 효모/공작석발효물| 효모발효물| 효모발효여과물| 스키조사카로미세스발효여과물| 아스퍼질러스발효물| 아스퍼질러스/글루코오스/콩/전분발효여과물| 센티드제라늄꽃오일 | 소듐하이알루로네이트| 폴리글리세릴-10라우레이트| 세테아릴알코올| 베타인| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 트로메타민| 폴리쿼터늄-51| 하이드록시에틸셀룰로오스| 아데노신| 제라니올| 시트로넬올"
"스킨/토너",8,"넘버즈인","넘버즈인 1번 진정 맑게담은 청초토너","28,000","정제수| 1,2-헥산다이올| 다이프로필렌글라이콜| 프로판다이올| 부틸렌글라이콜| 글리세린| 감초뿌리추출물| 약모밀추출물| 카보머| 병풀추출물| 하이드록시에틸셀룰로오스| 알지닌| 알란토인| 다이소듐이디티에이| 하수오전초추출물| 베타인| 히아신스전초추출물| 판테놀| 알바수련꽃추출물"
"스킨/토너",9,"마녀공장","마녀공장 판테토인 에센스 토너","14,600","정제수| 다이프로필렌글라이콜| 글리세린| 1,2-헥산다이올| 메틸프로판다이올| 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물| 백미꽃추출물| 접시꽃추출물| 판테놀| 퀸즈랜드넛오일| 해바라기씨오일| 하이드롤라이즈드하이알루로닉애씨드| 스쿠알란| 알란토인| 엑토인| 세라마이드엔피| 하이드록시페닐프로파미도벤조익애씨드| 소듐클로라이드| 부틸렌글라이콜| 소듐바이카보네이트| 칼슘클로라이드| 포타슘클로라이드| 피토스핑고신| 네오펜틸글라이콜다이에틸헥사노에이트| 펜틸렌글라이콜| 폴리글리세릴-3메틸글루코오스다이스테아레이트| 베타인| 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머| 폴리글리세릴-10라우레이트| 폴리글리세릴-10미리스테이트| 카프릴릴글라이콜| 다이페닐다이메티콘| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 트라이에틸헥사노인| 트로메타민| 프로판다이올| 솔비탄아이소스테아레이트| 하이드로제네이티드레시틴| 아스코빌팔미테이트| 에틸헥실글리세린"
"스킨/토너",10,"헤이네이처","헤이네이처 어성초 스킨 토너","25,000","[어성초스킨 전성분]정제수| 약모밀추출물(15%)| 글리세린| 판테놀| 소듐레불리네이트| 소듐아니세이트| 병풀추출물| 녹차추출물| 황금추출물| 스페인감초뿌리추출물| 마트리카리아꽃추출물| 로즈마리잎추출물| 호장근뿌리추출물| 프로판다이올| 동충하초추출물| 병풀잎추출물| 편백잎추출물| 라벤더오일| 글리세릴카프릴레이트| 흰버드나무껍질추출물| 에틸헥실글리세린| 쇠비름추출물| 바실러스/소이빈발표추출물| 부틸렌글라이콜| 1,2-헥산다이올| 폴리글리세릴-10라우레이트| 폴리글리세릴-10미리스테이트[어성초 카밍 토너 패드 파우치 전성분]정제수| 약모밀추출물(15%)| 글리세린| 판테놀| 소듐레불리네이트| 소듐아니세이트| 병풀추출물| 녹차추출물| 황금추출물| 스페인감초뿌리추출물| 마트리카리아꽃추출물| 로즈마리잎추출물| 호장근뿌리추출물| 프로판다이올| 동충하초추출물| 병풀잎추출물| 편백잎추출물| 라벤더오일| 글리세릴카프릴레이트| 흰버드나무껍질추출물| 에틸헥실글리세린| 쇠비름추출물| 바실러스/소이빈발효추출물| 부틸렌글라이콜| 1,2-헥산다이올| 폴리글리세릴-10라우레이트| 폴리글리세릴-10미리스테이트| 리날룰"
"스킨/토너",11,"성분에디터","성분에디터 그린토마토 모공토너","18,900","전성분 정제수| 글리세린| 다이프로필렌글라이콜| 부틸렌글라이콜| 나이아신아마이드| 토마토추출물(10,000ppm)| 벤질글라이콜| 아데노신| 글리세릴글루코사이드| 자일리톨| 글루코노락톤| 알란토인| 트레할로오스| 판테놀| 인도멀구슬나무잎추출물| 자일리틸글루코사이드| 안하이드로자일리톨| 인도멀구슬나무꽃추출물| 달맞이꽃추출물| 칡뿌리추출물| 대왕송잎추출물| 당느릅나무뿌리추출물| 세라마이드엔피| 토코페롤| 하이드로제네이티드폴리아이소부텐| 소듐하이알루로네이트크로스폴리머| 하이드롤라이즈드글라이코사미노글리칸| 하이드롤라이즈드콜라겐| 소듐하이알루로네이트| 데이지꽃추출물| 하이드롤라이즈드하이알루로닉애씨드| 하이알루로닉애씨드| 지모뿌리추출물| C12-13파레스-9| 1,2-헥산다이올| 에틸헥실글리세린| 하이드롤라이즈드스클레로튬검| 프로판다이올| 페네틸알코올| 소듐클로라이드| 포타슘클로라이드| 다이소듐포스페이트| 포타슘포스페이트"
"스킨/토너",12,"에스트라","에스트라 에이시카365 수분진정결토너  대용량","31,500","정제수| 부틸렌글라이콜| 글리세린| 글루코노락톤| 트로메타민| 1,2-헥산다이올| 판테놀| 프로판다이올| 폴리쿼터늄-51| 에틸헥실글리세린| 다이소듐이디티에이| 마데카소사이드| 베타-글루칸| 폴리글리세릴-10라우레이트| 토코페롤| 스쿠알란| 피토스테롤"
